,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
5ymn1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.2,10
5ymsae,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3,0.0,0.33,0.1,0.0,0.0,0.0,10
5ynchx,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.23,0.07,0.0,0.0,0.08,0.04,0.23,4
5ynpt8,0.2,0.24,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.03,0.0,0.0,0.0,0.19,0.0,6
5yo14s,0.0,0.0,0.0,0.17,0.04,0.0,0.19,0.11,0.0,0.16,0.15,0.0,0.06,0.0,0.12,6
5yotrm,0.0,0.11,0.06,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.12,4
5yq5bn,0.29,0.0,0.0,0.06,0.0,0.08,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.19,0.0,7
5yr55t,0.07,0.0,0.0,0.28,0.03,0.0,0.33,0.08,0.0,0.0,0.02,0.02,0.12,0.0,0.05,6
5yr866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.0,0.5,14
5yro0n,0.0,0.21,0.0,0.0,0.33,0.27,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.11,4
5yttz3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.13,0.0,0.13,0.0,8
5yum0h,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.42,0.36,0.0,0.0,0.0,0.05,0.0,0.0,7
5yv2kj,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
5yvg44,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.29,0.0,0.0,0.24,0.0,7
5ywzpp,0.13,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.0,0.0,0.0,0.0,0.11,1
5yx1it,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.47,14
5yx56m,0.13,0.0,0.31,0.0,0.0,0.0,0.06,0.25,0.0,0.0,0.24,0.0,0.0,0.0,0.0,2
5yyo8e,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49,0.01,0.01,0.01,11
5yzluc,0.02,0.0,0.0,0.0,0.61,0.15,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0,4
5z09fq,0.08,0.21,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.23,0.0,0.0,0.32,0.0,13
5z0dr8,0.09,0.0,0.18,0.11,0.0,0.0,0.0,0.21,0.0,0.12,0.0,0.0,0.06,0.21,0.0,7
5z1bbu,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.42,14
5z1fi6,0.14,0.52,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5z1yw0,0.0,0.13,0.09,0.0,0.0,0.0,0.31,0.0,0.35,0.0,0.0,0.0,0.1,0.0,0.0,8
5z2jex,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.24,0.18,0.15,0.06,0.07,0.0,0.21,0.0,7
5z4hnc,0.0,0.0,0.0,0.18,0.22,0.48,0.04,0.0,0.0,0.0,0.05,0.01,0.01,0.0,0.0,5
5z4ogl,0.0,0.0,0.13,0.04,0.0,0.37,0.0,0.0,0.39,0.0,0.0,0.0,0.05,0.0,0.0,8
5z5zwi,0.08,0.0,0.21,0.0,0.04,0.0,0.0,0.0,0.1,0.0,0.48,0.0,0.06,0.0,0.0,10
5z6x2h,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5z6x5s,0.0,0.37,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5z7a01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.44,0.31,0.0,0.0,0.0,10
5z8ubu,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.08,0.0,0.05,0.0,0.41,0.0,6
5z8vci,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7,14
5z9fad,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.13,0.58,14
5zc6ft,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.35,0.0,0.0,0.0,0.0,0.22,9
5zckje,0.0,0.0,0.41,0.0,0.0,0.22,0.0,0.0,0.12,0.0,0.14,0.0,0.0,0.0,0.1,2
5zct2v,0.0,0.13,0.06,0.04,0.0,0.0,0.0,0.22,0.0,0.0,0.42,0.0,0.1,0.03,0.0,10
5ze3wj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.64,0.01,0.01,0.01,0.01,0.01,0.01,8
5zfz70,0.0,0.43,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5
5zg3eb,0.0,0.25,0.0,0.0,0.32,0.0,0.0,0.24,0.0,0.0,0.0,0.02,0.03,0.0,0.14,4
5zguh2,0.0,0.19,0.0,0.45,0.0,0.0,0.0,0.15,0.12,0.0,0.0,0.0,0.0,0.08,0.0,3
5zi5wl,0.0,0.42,0.0,0.0,0.12,0.3,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.08,1
5zj0pf,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.28,3
5zjmnj,0.01,0.24,0.0,0.0,0.16,0.0,0.03,0.0,0.25,0.0,0.29,0.0,0.0,0.02,0.0,10
5zk2f4,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.01,0.01,8
5zkhnq,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,14
5zkn9n,0.0,0.06,0.05,0.1,0.05,0.21,0.0,0.29,0.0,0.05,0.19,0.0,0.0,0.0,0.0,7
5zkrsp,0.08,0.0,0.0,0.44,0.14,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,3
5zlgmu,0.0,0.0,0.0,0.11,0.0,0.53,0.0,0.13,0.0,0.0,0.21,0.0,0.0,0.0,0.0,5
5zlvcz,0.0,0.55,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1
5zmgek,0.0,0.65,0.0,0.07,0.21,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,1
5znolq,0.38,0.0,0.0,0.03,0.0,0.0,0.3,0.09,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0
5znu12,0.0,0.31,0.0,0.22,0.0,0.0,0.0,0.15,0.16,0.0,0.0,0.05,0.0,0.0,0.11,1
5zp7l9,0.29,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.08,0.0,0.1,0.38,14
5zq7h9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.34,0.14,13
5zqa9v,0.0,0.07,0.0,0.23,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.16,0.09,0.02,7
5zqoc5,0.0,0.26,0.1,0.04,0.0,0.08,0.0,0.09,0.0,0.1,0.25,0.0,0.06,0.02,0.0,1
5zs7pt,0.11,0.13,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.03,0.0,0.33,0.07,0.0,12
5zs9cw,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.16,0.25,8
5zsaun,0.0,0.22,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.17,5
5ztez8,0.0,0.36,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.2,0.0,1
5ztg1i,0.04,0.22,0.0,0.11,0.0,0.0,0.0,0.0,0.09,0.26,0.0,0.02,0.23,0.0,0.04,9
5zthnv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.18,0.29,0.11,0.0,0.0,0.0,8
5ztqp1,0.02,0.0,0.05,0.0,0.0,0.15,0.0,0.56,0.07,0.0,0.15,0.0,0.0,0.0,0.0,7
5zum4s,0.0,0.13,0.12,0.13,0.06,0.0,0.04,0.13,0.07,0.01,0.0,0.11,0.04,0.0,0.15,14
5zwoum,0.06,0.0,0.0,0.33,0.11,0.0,0.0,0.05,0.0,0.04,0.09,0.0,0.0,0.04,0.27,3
5zz7gu,0.0,0.14,0.0,0.0,0.0,0.09,0.05,0.0,0.09,0.0,0.39,0.0,0.0,0.0,0.23,10
