,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
ozfjk6,0.0,0.0,0.0,0.49,0.21,0.24,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3
ozfss8,0.0,0.12,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.0,0.0,4
ozh5lw,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,14
ozjk62,0.0,0.0,0.11,0.0,0.0,0.47,0.09,0.0,0.08,0.0,0.0,0.0,0.22,0.0,0.0,5
ozjqzm,0.0,0.0,0.14,0.1,0.0,0.06,0.18,0.0,0.31,0.03,0.18,0.0,0.0,0.0,0.0,8
ozk5qy,0.0,0.0,0.27,0.0,0.0,0.27,0.0,0.14,0.09,0.0,0.0,0.12,0.06,0.03,0.0,2
ozkt54,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,5
ozl10s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.19,0.0,0.13,0.05,0.27,9
ozlrt5,0.0,0.26,0.0,0.05,0.0,0.0,0.02,0.0,0.09,0.0,0.22,0.0,0.0,0.21,0.15,1
ozlseu,0.01,0.01,0.01,0.01,0.36,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.01,4
ozo31e,0.0,0.17,0.0,0.0,0.2,0.06,0.0,0.11,0.23,0.0,0.0,0.05,0.03,0.0,0.15,8
ozo8az,0.02,0.0,0.0,0.0,0.14,0.0,0.14,0.1,0.18,0.06,0.13,0.0,0.23,0.0,0.0,12
ozod69,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49,0.41,13
ozokjz,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.25,0.0,2
ozot6y,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.08,0.16,0.16,1
ozpvqd,0.14,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.09,0.0,0.37,14
ozqx4h,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.75,0.0,0.0,12
ozrw72,0.03,0.31,0.0,0.0,0.0,0.0,0.09,0.14,0.14,0.0,0.13,0.0,0.0,0.07,0.08,1
oztf59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,10
oztwv2,0.03,0.42,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.09,0.0,0.08,0.04,0.0,0.05,1
ozukg6,0.0,0.0,0.0,0.0,0.37,0.0,0.4,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.15,6
ozupfq,0.0,0.0,0.0,0.42,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,3
ozvoyb,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
ozwps7,0.0,0.0,0.25,0.0,0.0,0.52,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.16,5
ozws61,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0.11,0.01,0.01,0.01,0.01,1
ozx8u9,0.0,0.21,0.0,0.0,0.0,0.25,0.0,0.14,0.0,0.06,0.32,0.0,0.0,0.0,0.0,10
ozxp0z,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.14,0.0,0.0,0.13,0.2,0.0,0.06,0.0,5
ozyh71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.22,0.1,12
ozyquf,0.28,0.0,0.09,0.16,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.36,14
ozzb45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.08,0.0,0.13,0.52,0.0,0.12,12
p00f7k,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.22,0.36,0.04,0.07,0.0,11
p00z96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.59,0.01,0.01,0.01,0.01,0.01,0.01,8
p040va,0.0,0.53,0.06,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.16,0.0,0.0,0.0,1
p05q38,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.03,0.25,0.0,0.26,7
p05uzx,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.11,5
p0632g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,8
p06sud,0.0,0.35,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.2,12
p07fkn,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,14
p08lcl,0.0,0.0,0.13,0.0,0.19,0.2,0.09,0.0,0.22,0.05,0.0,0.12,0.0,0.0,0.0,8
p0a4ga,0.36,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0
p0aolp,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.17,0.0,0.0,0.0,0.37,0.0,0.0,5
p0b17i,0.0,0.46,0.0,0.0,0.0,0.0,0.33,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1
p0ba2j,0.0,0.17,0.26,0.0,0.0,0.13,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,8
p0bzkx,0.0,0.17,0.0,0.04,0.0,0.34,0.0,0.0,0.18,0.0,0.0,0.0,0.16,0.0,0.1,5
p0cww1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.46,0.0,0.0,0.0,8
p0cx35,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.24,0.0,0.0,0.29,0.0,0.0,0.0,0.34,14
p0deu7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.43,0.08,0.0,0.14,11
p0eh8i,0.0,0.0,0.0,0.57,0.05,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.13,3
p0er1r,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.49,14
p0f4zp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.28,8
p0fucs,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.25,0.0,0.16,0.03,0.0,0.0,0.21,0.14,7
p0fw6l,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
p0ges7,0.0,0.42,0.0,0.0,0.12,0.0,0.09,0.0,0.2,0.0,0.08,0.0,0.0,0.08,0.0,1
p0gvx8,0.0,0.0,0.0,0.11,0.0,0.0,0.27,0.0,0.33,0.0,0.0,0.0,0.19,0.0,0.09,8
p0h4lr,0.0,0.0,0.0,0.17,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.26,4
p0ha1f,0.0,0.06,0.0,0.29,0.04,0.0,0.3,0.07,0.07,0.0,0.0,0.03,0.1,0.04,0.0,6
p0kh0a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45,0.0,9
p0khr0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.3,10
p0lit2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.46,14
p0lpg8,0.0,0.0,0.0,0.24,0.0,0.4,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.13,5
p0lv22,0.0,0.0,0.04,0.14,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
p0mbz9,0.0,0.0,0.0,0.0,0.0,0.42,0.18,0.16,0.0,0.0,0.13,0.0,0.1,0.0,0.0,5
p0mfzj,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.24,0.06,0.18,0.19,0.0,6
p0nvex,0.0,0.0,0.0,0.1,0.0,0.35,0.19,0.0,0.0,0.12,0.17,0.0,0.06,0.0,0.0,5
p0of60,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.18,0.0,0.08,0.0,0.17,6
p0ojrm,0.0,0.18,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,9
p0q6cu,0.05,0.11,0.0,0.33,0.14,0.0,0.03,0.13,0.04,0.17,0.0,0.0,0.0,0.0,0.0,3
p0qk8y,0.09,0.11,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.31,10
p0roqp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.58,14
p0sadj,0.18,0.1,0.07,0.0,0.0,0.0,0.23,0.21,0.1,0.05,0.0,0.03,0.0,0.03,0.0,6
p0smw3,0.0,0.27,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.37,0.03,0.04,0.0,0.02,0.13,9
p0syuy,0.0,0.37,0.0,0.0,0.15,0.0,0.06,0.15,0.0,0.15,0.0,0.0,0.12,0.0,0.0,1
p0u30p,0.0,0.22,0.0,0.13,0.15,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,6
p0ubov,0.0,0.0,0.0,0.62,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,3
p0ujl8,0.0,0.0,0.01,0.02,0.0,0.24,0.0,0.0,0.0,0.1,0.09,0.19,0.17,0.0,0.17,5
p0vfbi,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.19,0.0,0.0,0.39,0.0,13
p0vhwr,0.0,0.48,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.16,0.08,0.0,0.0,0.0,0.0,1
p0wrxe,0.0,0.78,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
p0x88g,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.22,0.0,0.0,0.0,0.0,0.0,1
p0xlq0,0.0,0.0,0.13,0.0,0.0,0.35,0.0,0.0,0.32,0.0,0.09,0.04,0.0,0.0,0.06,5
p0xpdn,0.04,0.2,0.0,0.42,0.0,0.0,0.14,0.0,0.0,0.16,0.0,0.0,0.04,0.0,0.0,3
p0yloi,0.0,0.0,0.05,0.0,0.06,0.34,0.0,0.0,0.12,0.04,0.0,0.05,0.34,0.0,0.0,5
p0yohv,0.14,0.0,0.0,0.0,0.0,0.0,0.05,0.24,0.0,0.05,0.0,0.0,0.51,0.0,0.0,12
p0z48r,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.13,0.0,0.0,0.0,0.54,0.0,0.0,0.13,11
p106o0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,12
p10e5t,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
p111zg,0.1,0.4,0.17,0.0,0.02,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
p114yc,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.32,0.0,8
p12zzq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.06,0.0,0.09,0.0,0.11,0.0,0.16,7
p13emy,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.22,0.0,0.0,0.03,0.0,0.0,0.0,0
p13p3g,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.38,0.0,0.0,0.0,8
p13tdp,0.0,0.0,0.16,0.31,0.0,0.13,0.0,0.0,0.11,0.03,0.11,0.0,0.14,0.0,0.0,3
p144cj,0.0,0.0,0.0,0.04,0.16,0.11,0.11,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.48,14
p14egx,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.78,0.01,0.01,0.01,0.01,0.15,0.01,8
p1561e,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.03,0.36,0.11,10
p162vb,0.0,0.14,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.17,5
p1659g,0.01,0.01,0.82,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.01,2
p167zf,0.29,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,14
p18ral,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.42,0.0,0.0,0.0,11
p1ael6,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.57,0.0,0.0,0.0,0.0,0.23,0.09,8
p1b9t0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.29,0.0,0.37,14
p1cidu,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.26,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1
p1cqzp,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.12,0.0,0.0,0.0,0.2,0.0,0.0,6
p1defi,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.13,0.0,0.41,14
p1dizc,0.0,0.19,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.15,0.0,0.0,0.15,3
p1eddq,0.1,0.23,0.0,0.0,0.0,0.0,0.31,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,8
p1fjni,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.24,0.0,0.0,0.12,1
p1fv13,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.24,0.06,0.18,0.19,0.0,6
p1g5kz,0.0,0.68,0.0,0.04,0.0,0.0,0.13,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,1
p1geyc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.54,0.0,0.0,0.2,11
p1hf5e,0.0,0.16,0.1,0.15,0.0,0.0,0.02,0.31,0.0,0.0,0.13,0.03,0.09,0.0,0.0,7
p1hwsh,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.18,3
p1i15r,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,14
p1i3cg,0.0,0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.12,0.0,0.31,0.0,0.0,12
p1jpfs,0.0,0.09,0.0,0.0,0.21,0.17,0.0,0.28,0.0,0.0,0.24,0.01,0.0,0.0,0.0,7
p1kb9p,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.46,12
p1kep9,0.0,0.31,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,14
p1kh96,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.39,13
p1l1tt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.28,0.0,0.37,14
p1mdip,0.0,0.45,0.0,0.0,0.0,0.0,0.02,0.1,0.03,0.0,0.0,0.3,0.0,0.04,0.06,1
p1mdma,0.0,0.0,0.0,0.0,0.03,0.0,0.17,0.13,0.37,0.06,0.23,0.0,0.0,0.0,0.0,8
p1mdrx,0.0,0.0,0.06,0.17,0.0,0.11,0.0,0.0,0.12,0.0,0.33,0.21,0.0,0.0,0.0,10
p1mo1j,0.01,0.01,0.01,0.01,0.01,0.58,0.01,0.25,0.01,0.01,0.01,0.11,0.01,0.01,0.01,5
p1o6n8,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.23,0.0,0.0,0.0,0.0,0.41,14
p1ob59,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.24,0.0,0.0,0.0,0.0,7
p1oid9,0.0,0.0,0.05,0.0,0.07,0.15,0.0,0.0,0.21,0.1,0.3,0.04,0.0,0.0,0.08,10
p1oy61,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,3
p1pkcy,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.03,0.0,0.0,7
p1qhf8,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.56,0.0,0.0,0.0,0.03,0.0,0.0,0.0,7
p1qhqy,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.46,0.32,13
p1r3o6,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.23,0.09,0.0,0.0,0.09,1
p1rafs,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.12,0.0,0.0,0.0,1
p1rty4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.41,11
p1s46i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.85,0.0,0.0,12
p1se3m,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,14
p1u697,0.0,0.12,0.0,0.0,0.0,0.28,0.0,0.0,0.47,0.0,0.08,0.0,0.04,0.0,0.0,8
p1umxg,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,10
p1v1oo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.43,0.0,9
p1v476,0.0,0.0,0.0,0.05,0.0,0.0,0.29,0.0,0.0,0.18,0.0,0.47,0.0,0.0,0.0,11
p1vcqg,0.01,0.31,0.01,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
p1weqi,0.0,0.0,0.0,0.06,0.0,0.4,0.0,0.24,0.04,0.0,0.0,0.12,0.14,0.0,0.0,5
p1xs0d,0.18,0.31,0.0,0.0,0.1,0.0,0.06,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,8
p1y6lm,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.43,0.0,0.0,0.0,0.05,0.0,0.04,0.04,5
p1ybdn,0.01,0.73,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
p1yeiq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.45,14
p1z4cx,0.0,0.0,0.18,0.0,0.09,0.55,0.0,0.0,0.0,0.06,0.0,0.0,0.11,0.0,0.0,5
p1z4nk,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.26,0.16,0.01,0.01,0.01,0.01,7
p1zmzv,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.13,0.5,14
p1zp0u,0.0,0.19,0.14,0.0,0.04,0.23,0.0,0.0,0.16,0.12,0.04,0.05,0.03,0.0,0.0,5
p204ru,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.05,0.42,0.0,0.24,0.0,0.09,10
p20fvq,0.01,0.01,0.01,0.8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,3
p20gin,0.0,0.11,0.21,0.0,0.0,0.0,0.0,0.19,0.14,0.07,0.22,0.0,0.0,0.03,0.0,10
p20gq1,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,13
p20zid,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,6
p218mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.19,0.0,0.26,0.17,7
p21u9t,0.0,0.0,0.0,0.17,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,6
p225wj,0.08,0.11,0.51,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,2
p22eo6,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.57,14
p22y7f,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.21,6
p2383d,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.36,14
p23p6x,0.0,0.3,0.29,0.0,0.0,0.0,0.0,0.14,0.0,0.12,0.04,0.0,0.0,0.0,0.09,1
p23vqb,0.0,0.68,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.11,1
p2426o,0.14,0.0,0.0,0.0,0.15,0.0,0.33,0.2,0.0,0.0,0.0,0.0,0.0,0.17,0.0,6
p243mi,0.07,0.0,0.0,0.13,0.0,0.0,0.2,0.0,0.17,0.0,0.04,0.08,0.31,0.0,0.0,12
p250m4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.27,0.0,0.0,0.17,7
p26k2j,0.0,0.35,0.0,0.0,0.0,0.28,0.0,0.15,0.0,0.21,0.0,0.0,0.0,0.0,0.0,1
p26lrv,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.19,2
p296pl,0.34,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.11,6
p29de1,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.21,0.39,0.0,0.22,0.0,0.0,0.0,0.0,8
p29hcp,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
p2agf8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.11,0.0,0.28,0.0,0.09,0.15,0.0,7
p2alu0,0.0,0.18,0.0,0.0,0.48,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.11,4
p2b3p1,0.65,0.0,0.0,0.07,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0
p2bt2t,0.0,0.31,0.0,0.14,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.25,0.0,1
p2ck3o,0.02,0.69,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
p2ct15,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
p2cyo1,0.02,0.44,0.02,0.0,0.0,0.09,0.29,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.11,1
p2dad3,0.0,0.15,0.04,0.0,0.11,0.09,0.0,0.15,0.0,0.02,0.34,0.03,0.06,0.0,0.0,10
p2diz5,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,6
p2doy2,0.0,0.0,0.0,0.08,0.0,0.39,0.0,0.0,0.0,0.17,0.14,0.09,0.04,0.08,0.0,5
p2eni1,0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.33,0.0,0.12,0.0,0.03,0.0,0.33,0.08,7
p2ffy3,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.31,0.0,0.17,0.0,0.0,0.0,0.05,0.0,6
p2g4ds,0.0,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.18,0.18,8
p2gl48,0.02,0.12,0.0,0.0,0.0,0.18,0.0,0.0,0.37,0.0,0.0,0.0,0.21,0.0,0.09,8
p2h61f,0.0,0.0,0.62,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
p2hzyh,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.0,0.0,0.25,0.0,1
p2i3or,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.62,14
p2i7du,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.44,10
p2ihtf,0.01,0.38,0.12,0.0,0.01,0.0,0.07,0.2,0.0,0.04,0.0,0.16,0.0,0.0,0.0,1
p2iljl,0.13,0.01,0.01,0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,6
p2io9g,0.0,0.17,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.08,0.0,0.12,0.0,0.0,0.0,6
p2isoj,0.0,0.0,0.0,0.0,0.09,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,6
p2izo6,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.23,9
p2j3ws,0.11,0.0,0.0,0.15,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.22,0.06,0.34,14
p2jh83,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.23,0.0,0.27,0.21,0.0,0.0,0.0,0.0,6
p2jlct,0.0,0.45,0.0,0.0,0.0,0.0,0.12,0.17,0.0,0.0,0.0,0.0,0.06,0.0,0.18,1
p2jm7c,0.0,0.24,0.29,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.15,2
p2jqwg,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06,0.57,14
p2k7xe,0.0,0.0,0.19,0.0,0.0,0.1,0.0,0.0,0.0,0.06,0.19,0.0,0.0,0.09,0.36,14
p2kf17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.29,0.48,0.0,0.05,12
p2l33f,0.0,0.09,0.0,0.0,0.07,0.0,0.0,0.31,0.28,0.0,0.0,0.21,0.0,0.02,0.0,7
p2l9bh,0.0,0.0,0.0,0.0,0.09,0.37,0.23,0.14,0.0,0.0,0.03,0.0,0.0,0.0,0.14,5
p2ll8r,0.06,0.0,0.0,0.0,0.03,0.31,0.0,0.14,0.16,0.02,0.0,0.0,0.15,0.07,0.05,5
