,t0 pain,t1 metformin,t2 cyst,t3 hair,t4 amp,t5 since,t6 insulin,t7 doctor,t8 day,t9 eat,t10 hair,t11 pregnant,t12 level,t13 started,t14 help,t15 weight,t16 control,t17 skin,t18 feel,t19 health,dominant_topic
v3m5s,0.0,0.0,0.0,0.07,0.0,0.19,0.0,0.33,0.12,0.0,0.0,0.0,0.0,0.07,0.04,0.05,0.05,0.07,0.0,0.0,7
v4059,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.44,0.02,0.0,0.0,0.0,15
v7ikx,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.19,1
v7mgw,0.22,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,13
v89sd,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.05,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.17,0.38,0.16,18
v8j07,0.0,0.25,0.0,0.06,0.0,0.15,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.14,0.07,0.12,0.13,0.0,1
v9dfl,0.0,0.0,0.03,0.0,0.0,0.15,0.0,0.33,0.0,0.0,0.04,0.03,0.04,0.1,0.0,0.09,0.04,0.16,0.0,0.0,7
va9yq,0.0,0.15,0.0,0.0,0.0,0.0,0.06,0.22,0.0,0.03,0.0,0.0,0.0,0.19,0.13,0.21,0.0,0.0,0.0,0.0,7
vb71b,0.08,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.13,0.0,0.0,0.0,0.26,0.0,1
vc3g9,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.0,0.0,0.0,0.0,0.0,7
vcvje,0.0,0.22,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.31,0.07,0.0,17
vcwzd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.0,0.0,0.0,0.0,0.0,0.13,0.61,0.0,0.0,0.0,0.0,15
veg69,0.0,0.04,0.0,0.44,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.1,0.0,3
