,t0 symptom,t1 hair,t2 doctor,t3 help,t4 day,t5 period,t6 level,t7 metformin,t8 year,t9 pregnant,t10 pain,t11 like,t12 weight,t13 control,t14 hair,dominant_topic
wbiqc,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.34,0.0,0.0,0.0,8
wbpjq,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.19,0.17,0.0,0.0,0.0,0.04,0.0,0.32,14
wclcw,0.14,0.0,0.0,0.0,0.41,0.0,0.05,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,4
whsk5,0.0,0.0,0.23,0.08,0.0,0.41,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,5
wjilc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,8
wm8km,0.2,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.38,0.0,0.02,12
wmqb6,0.03,0.0,0.02,0.0,0.0,0.17,0.02,0.0,0.08,0.0,0.55,0.0,0.0,0.12,0.0,10
wnrfa,0.18,0.0,0.0,0.0,0.0,0.21,0.28,0.0,0.28,0.0,0.04,0.0,0.0,0.0,0.0,6
wokhx,0.0,0.0,0.1,0.16,0.13,0.0,0.0,0.0,0.0,0.05,0.1,0.39,0.06,0.0,0.0,11
wp8fn,0.0,0.13,0.0,0.0,0.27,0.0,0.0,0.24,0.0,0.0,0.0,0.11,0.24,0.0,0.0,4
wpr61,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.71,0.22,0.0,0.0,11
wpvem,0.02,0.0,0.34,0.0,0.0,0.0,0.08,0.0,0.0,0.02,0.0,0.15,0.3,0.02,0.07,2
wue4x,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.52,0.0,0.0,0.0,11
wupwv,0.0,0.0,0.16,0.0,0.09,0.07,0.0,0.0,0.07,0.04,0.03,0.32,0.0,0.2,0.02,11
wvdpk,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.4,0.0,0.0,11
wxjne,0.12,0.0,0.07,0.07,0.1,0.0,0.0,0.0,0.36,0.24,0.0,0.0,0.0,0.0,0.03,8
wyu1f,0.09,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.18,0.0,8
wzdda,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.04,0.02,11
x07qt,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.22,0.15,0.0,0.16,0.16,0.14,0.0,8
x1ydu,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.0,0.14,0.21,0.21,0.0,0
x216x,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.09,0.04,0.13,0.0,0.0,0.0,0
x4wpr,0.0,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.03,0.03,0.04,0.44,0.15,0.02,0.0,11
