,t0 medication,t1 chronic,t2 help,t3 else,t4 weight,t5 right,t6 covid,t7 week,t8 sex,t9 side,t10 woman,t11 nt,t12 told,t13 control,t14 cramp,t15 surgery,t16 really,t17 nt,t18 cyst,t19 amp,dominant_topic
4tq7ze,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.14,0.07,0.24,0.13,0.18,0.0,0.0,0.06,14
4tuhva,0.01,0.02,0.07,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.06,0.0,0.22,0.05,0.0,0.0,0.02,0.32,0.0,0.02,17
4tvg8f,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.02,0.25,0.0,0.0,0.18,0.13,0.0,0.0,0.22,0.02,0.0,10
4ty3i4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,17
4u7y1e,0.0,0.0,0.0,0.21,0.0,0.4,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.09,0.0,0.0,5
4ucv8n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
4ue1h2,0.0,0.0,0.0,0.0,0.19,0.15,0.0,0.15,0.03,0.0,0.0,0.0,0.18,0.01,0.1,0.0,0.05,0.14,0.0,0.0,4
4ur8j7,0.0,0.0,0.07,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.09,0.17,0.0,0.15,0.0,0.0,0.0,5
4w8ud4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,15
4wczvd,0.01,0.0,0.0,0.04,0.05,0.0,0.0,0.19,0.0,0.0,0.06,0.16,0.26,0.04,0.0,0.09,0.08,0.0,0.01,0.01,12
