,t0 really,t1 symptom,t2 hour,t3 cyst,t4 life,t5 weight,t6 flare,t7 help,t8 back,t9 surgery,t10 endometriosis,t11 cramp,t12 lap,t13 bleeding,t14 pill,t15 didn,t16 want,t17 appointment,t18 ultrasound,t19 control,dominant_topic
15kony,0.32,0.08,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.15,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
1ua2d2,0.83,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
1ue8pz,0.0,0.0,0.0,0.0,0.24,0.05,0.0,0.0,0.0,0.0,0.4,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
1uiq8a,0.0,0.0,0.0,0.0,0.14,0.04,0.12,0.0,0.0,0.0,0.0,0.1,0.35,0.03,0.22,0.0,0.0,0.0,0.0,0.0,12
1uo0yj,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.04,0.0,0.0,0.0,0.19,0.27,0.07,0.05,17
1v0dae,0.08,0.03,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.07,0.02,0.0,0.0,0.01,0.0,0.44,0.05,0.05,17
1v16de,0.15,0.0,0.23,0.0,0.13,0.0,0.0,0.04,0.06,0.0,0.04,0.0,0.21,0.03,0.01,0.0,0.0,0.0,0.09,0.0,2
1vb0bm,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.14,0.61,0.05,0.0,0.0,0.05,0.0,0.0,0.0,12
1vcccw,0.23,0.0,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.0,0.0,0.44,0.0,0.0,17
1vgvym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.06,0.0,0.12,0.04,0.19,0.0,11
1vh5ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.07,0.0,0.14,0.03,0.16,0.0,11
1viw7t,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,11
1vlls6,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.6,0.0,18
1vo4lb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,17
1vrgnj,0.0,0.0,0.18,0.0,0.38,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,4
1vswqn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.08,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
