,t0 really,t1 stomach,t2 amp,t3 lap,t4 said,t5 pregnant,t6 pad,t7 control,t8 work,t9 surgery,t10 experience,t11 cramp,t12 bleeding,t13 cyst,t14 effect,dominant_topic
260jb7,0.24,0.0,0.0,0.02,0.07,0.0,0.0,0.06,0.22,0.0,0.0,0.25,0.09,0.04,0.0,11
263rga,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.07,0.0,0.0,0.0,0.16,0.32,0.01,0.0,4
26476i,0.06,0.02,0.0,0.0,0.2,0.01,0.02,0.0,0.18,0.29,0.12,0.0,0.0,0.1,0.0,9
26d78v,0.09,0.0,0.12,0.0,0.42,0.0,0.0,0.0,0.07,0.0,0.08,0.11,0.0,0.0,0.1,4
26hleg,0.26,0.0,0.0,0.0,0.22,0.03,0.02,0.33,0.1,0.0,0.0,0.0,0.04,0.0,0.0,7
26mt2i,0.0,0.0,0.08,0.0,0.11,0.11,0.0,0.0,0.0,0.12,0.0,0.29,0.0,0.29,0.0,11
26o6z3,0.16,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.23,0.0,0.0,0.0,2
26p2qd,0.12,0.0,0.0,0.0,0.33,0.06,0.0,0.0,0.33,0.06,0.0,0.0,0.0,0.1,0.0,4
26pn4n,0.42,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.12,0.0,0.06,0.37,0.0,0.0,0.0,0
26rw4e,0.0,0.0,0.02,0.0,0.24,0.03,0.0,0.28,0.16,0.21,0.0,0.05,0.0,0.0,0.0,7
26tyl8,0.0,0.0,0.05,0.04,0.26,0.09,0.0,0.04,0.36,0.13,0.03,0.0,0.0,0.0,0.0,8
26uc4e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,0.0,0.21,0.37,0.03,0.0,0.0,11
274sve,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,3
27ae1w,0.25,0.03,0.07,0.0,0.17,0.2,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,8
27baj2,0.0,0.0,0.58,0.15,0.08,0.0,0.0,0.0,0.0,0.03,0.11,0.0,0.0,0.0,0.03,2
27hze5,0.12,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.15,0.13,0.43,0.0,13
27luoa,0.0,0.0,0.06,0.12,0.24,0.0,0.0,0.0,0.17,0.0,0.21,0.0,0.13,0.0,0.08,4
27umlo,0.15,0.0,0.0,0.0,0.15,0.33,0.0,0.1,0.0,0.04,0.13,0.0,0.04,0.06,0.0,5
27unv4,0.0,0.0,0.18,0.0,0.27,0.03,0.0,0.07,0.33,0.0,0.03,0.09,0.0,0.0,0.0,8
27wzvh,0.3,0.0,0.0,0.11,0.0,0.07,0.0,0.09,0.0,0.0,0.22,0.0,0.0,0.0,0.2,0
28o66u,0.0,0.0,0.0,0.12,0.21,0.0,0.0,0.04,0.0,0.09,0.0,0.37,0.0,0.13,0.03,11
28oy9h,0.0,0.0,0.06,0.05,0.43,0.0,0.04,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.02,4
28uq7f,0.29,0.03,0.08,0.0,0.21,0.08,0.0,0.0,0.11,0.0,0.13,0.04,0.0,0.0,0.03,0
28v9dr,0.0,0.04,0.17,0.0,0.0,0.0,0.0,0.41,0.04,0.0,0.03,0.0,0.0,0.0,0.3,7
28xn1n,0.0,0.0,0.06,0.09,0.36,0.02,0.0,0.1,0.0,0.14,0.24,0.0,0.0,0.0,0.0,4
2910jx,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.65,0.0,0.0,0.25,0.0,0.0,0.0,8
2941wk,0.08,0.0,0.07,0.0,0.11,0.04,0.0,0.14,0.0,0.0,0.02,0.0,0.16,0.3,0.08,13
29plst,0.1,0.0,0.0,0.0,0.15,0.0,0.02,0.1,0.06,0.05,0.11,0.16,0.24,0.0,0.0,12
29rni7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.15,0.0,0.42,14
29uf5g,0.0,0.0,0.0,0.0,0.14,0.51,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,5
29wp4s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.29,0.32,0.0,0.0,0.0,7
29ztdy,0.0,0.0,0.0,0.0,0.14,0.0,0.02,0.11,0.0,0.11,0.0,0.12,0.0,0.13,0.36,14
2a03xk,0.0,0.0,0.0,0.0,0.14,0.0,0.02,0.11,0.0,0.11,0.0,0.12,0.0,0.13,0.36,14
2a3ltn,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.33,0.41,0.01,0.01,0.01,11
2a41bx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.17,0.0,0.31,0.0,0.0,0.0,0.0,7
2a8by8,0.0,0.02,0.06,0.19,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.12,0.0,0.0,0.11,7
2a97o2,0.0,0.0,0.0,0.72,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2adqiy,0.1,0.0,0.0,0.0,0.16,0.14,0.0,0.08,0.15,0.01,0.0,0.01,0.18,0.0,0.16,12
2antap,0.17,0.0,0.0,0.43,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.07,0.0,0.0,3
2apfzx,0.24,0.0,0.0,0.08,0.0,0.0,0.0,0.09,0.15,0.06,0.0,0.06,0.12,0.09,0.09,0
2apmoa,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.45,0.17,0.01,0.01,0.01,0.01,9
2ash5g,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.1,0.36,0.0,0.0,0.17,0.14,0.16,9
2av66v,0.06,0.01,0.03,0.0,0.29,0.09,0.0,0.03,0.04,0.07,0.0,0.17,0.13,0.0,0.08,4
2avgtx,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.14,2
2b3mn6,0.24,0.0,0.09,0.08,0.24,0.0,0.0,0.0,0.0,0.22,0.0,0.12,0.0,0.0,0.0,0
2b7lru,0.0,0.0,0.14,0.13,0.0,0.06,0.0,0.12,0.0,0.18,0.26,0.0,0.0,0.1,0.0,10
2bew4v,0.0,0.05,0.0,0.0,0.22,0.0,0.0,0.0,0.43,0.0,0.11,0.0,0.18,0.0,0.0,8
2bjmh0,0.4,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.24,0.0,0.0,0.0,0.0,0
2bsuyf,0.18,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.37,0.11,0.0,0.0,0.0,0.3,0.0,8
2but6j,0.01,0.01,0.01,0.6,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,3
2c7j0m,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,2
2cfokv,0.0,0.0,0.15,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.45,0.0,0.12,0.0,11
2ch7c9,0.62,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0
2cjirv,0.33,0.03,0.1,0.0,0.0,0.09,0.0,0.19,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0
2cryc2,0.0,0.0,0.0,0.0,0.5,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,4
2crzgd,0.0,0.0,0.14,0.36,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.3,3
2ctr1a,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,11
2d2zts,0.0,0.05,0.0,0.0,0.56,0.0,0.0,0.0,0.2,0.0,0.17,0.0,0.0,0.0,0.0,4
2d6540,0.0,0.12,0.14,0.29,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.2,0.0,0.0,0.0,3
2d7tc7,0.16,0.02,0.0,0.04,0.21,0.0,0.0,0.0,0.51,0.0,0.0,0.06,0.0,0.0,0.0,8
2dca2i,0.07,0.0,0.0,0.0,0.12,0.04,0.0,0.0,0.1,0.03,0.0,0.45,0.19,0.0,0.0,11
2dfcl1,0.0,0.04,0.0,0.0,0.16,0.0,0.03,0.0,0.0,0.15,0.0,0.45,0.0,0.08,0.08,11
2dwzrn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.07,0.7,0.0,0.0,0.0,11
2e22ku,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.36,0.0,13
2e3col,0.27,0.0,0.0,0.36,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2e5m55,0.37,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.06,0.0,0.0,0.05,0.0,0
2e5zo1,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.26,0.0,0.0,0.0,0
2e63mj,0.0,0.0,0.32,0.0,0.0,0.0,0.04,0.0,0.1,0.0,0.0,0.52,0.0,0.0,0.0,11
2e73kh,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0
2e740g,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.09,0.0,0.19,0.0,0.0,0.0,0.0,0
2e75sq,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.1,0.34,0.11,0.0,0.0,11
2e7nv8,0.16,0.0,0.05,0.09,0.12,0.0,0.0,0.26,0.0,0.0,0.31,0.0,0.0,0.0,0.0,10
2eb1p2,0.0,0.0,0.0,0.49,0.23,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.11,3
2ee07g,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.4,0.06,0.0,0.05,0.21,0.0,9
2en5w2,0.0,0.0,0.0,0.0,0.51,0.05,0.0,0.09,0.0,0.34,0.0,0.0,0.0,0.0,0.0,4
2eqb9h,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.09,0.0,0.0,0.0,9
2f812b,0.0,0.03,0.0,0.0,0.19,0.03,0.0,0.0,0.0,0.24,0.0,0.3,0.0,0.0,0.19,11
2f8byv,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.11,0.43,0.0,0.0,0.0,0.0,0.0,0.0,4
2fc2je,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,2
2ffws1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.23,0.0,0.0,0.0,7
2fia9z,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.25,0.0,0.36,0.0,0.0,12
2flmwo,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.34,0.0,9
2g4pzz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.17,0.08,0.32,0.0,0.29,0.0,11
2gas86,0.0,0.0,0.0,0.28,0.2,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.26,0.21,3
2gcxj0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.11,0.0,0.0,0.16,0.33,0.34,0.0,0.0,12
2gh0to,0.25,0.0,0.0,0.0,0.28,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2giqci,0.0,0.04,0.0,0.06,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.33,0.0,0.06,0.0,8
2gmsep,0.0,0.0,0.0,0.0,0.27,0.4,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.04,0.0,5
2goeaw,0.2,0.0,0.09,0.0,0.13,0.0,0.04,0.0,0.13,0.0,0.11,0.1,0.04,0.0,0.16,0
2h4dl3,0.28,0.0,0.1,0.0,0.4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,4
2h7kf5,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.41,0.13,0.0,0.0,0.36,0.0,9
2h9zy8,0.0,0.03,0.0,0.13,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,13
2hegnw,0.15,0.0,0.0,0.0,0.07,0.05,0.03,0.08,0.03,0.0,0.0,0.25,0.14,0.16,0.04,11
2hlof8,0.0,0.02,0.0,0.0,0.19,0.0,0.06,0.0,0.22,0.0,0.14,0.28,0.0,0.08,0.0,11
2hrkrj,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.28,0.0,0.13,7
2i9tar,0.07,0.08,0.09,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2iazjm,0.08,0.0,0.09,0.0,0.18,0.09,0.0,0.04,0.0,0.14,0.04,0.08,0.08,0.13,0.04,4
2ideai,0.0,0.04,0.0,0.09,0.41,0.0,0.04,0.0,0.1,0.1,0.0,0.15,0.06,0.0,0.0,4
2if0y3,0.0,0.0,0.31,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,14
2illf4,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.5,0.14,0.0,0.15,0.07,0.0,0.07,8
2ipua1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.64,0.28,0.0,0.0,11
2iwtx5,0.0,0.0,0.0,0.0,0.32,0.19,0.0,0.32,0.0,0.0,0.16,0.0,0.0,0.0,0.0,4
2j97yx,0.09,0.0,0.0,0.0,0.11,0.1,0.02,0.11,0.21,0.05,0.0,0.1,0.07,0.05,0.08,8
2jdnt3,0.21,0.0,0.17,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.28,0.22,0.0,0.0,0.0,10
2jf534,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.64,0.0,0.0,12
2jkrg4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.65,0.0,0.0,0.0,11
2jp6dh,0.0,0.0,0.0,0.17,0.08,0.12,0.0,0.19,0.0,0.29,0.13,0.0,0.0,0.0,0.0,9
2js8ml,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,10
2jtrvh,0.23,0.0,0.14,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.0,0.0,0.0,11
2jv7re,0.0,0.02,0.32,0.0,0.32,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.15,0.0,0.0,2
2jy7hh,0.0,0.0,0.0,0.26,0.0,0.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,5
2k3pxw,0.0,0.0,0.0,0.1,0.21,0.02,0.0,0.0,0.28,0.32,0.0,0.0,0.02,0.0,0.05,9
2k4nzw,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.29,10
2k74do,0.44,0.0,0.41,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0
2k9t2x,0.23,0.0,0.11,0.05,0.0,0.0,0.0,0.31,0.0,0.0,0.23,0.0,0.0,0.0,0.05,7
2kair4,0.0,0.0,0.0,0.0,0.34,0.05,0.0,0.0,0.41,0.0,0.0,0.19,0.0,0.0,0.0,8
2kbxpm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.38,0.26,0.0,0.2,11
2kc2pt,0.24,0.0,0.0,0.0,0.0,0.0,0.09,0.32,0.0,0.0,0.06,0.1,0.0,0.0,0.17,7
2kcbjb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.36,0.0,0.0,0.0,7
2kgkfs,0.19,0.0,0.0,0.0,0.0,0.17,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.06,7
2kjowc,0.0,0.0,0.0,0.42,0.0,0.07,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,8
2kl0o5,0.18,0.0,0.04,0.0,0.19,0.09,0.0,0.0,0.0,0.1,0.0,0.26,0.06,0.08,0.0,11
2klev5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.41,0.0,0.0,0.3,11
2kn4bb,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.11,0.0,7
2kq8c4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,14
2l6hgl,0.22,0.0,0.06,0.0,0.12,0.0,0.02,0.0,0.13,0.02,0.0,0.3,0.0,0.09,0.04,11
2lejje,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,10
2ljku3,0.01,0.01,0.31,0.23,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,2
2logyv,0.14,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.11,0.14,0.0,0.39,0.0,0.0,0.14,11
2ludfu,0.36,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.29,0.0,0.0,0.0,0
2m500u,0.0,0.0,0.0,0.23,0.0,0.03,0.0,0.05,0.0,0.12,0.0,0.0,0.08,0.48,0.0,13
2m54fr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36,0.01,0.01,0.16,0.01,0.01,0.42,14
2m6lfe,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.59,0.01,13
2mbmmt,0.0,0.0,0.0,0.18,0.1,0.2,0.0,0.17,0.0,0.0,0.11,0.0,0.0,0.22,0.0,13
2mbs7q,0.0,0.07,0.05,0.0,0.11,0.0,0.08,0.0,0.23,0.26,0.04,0.14,0.0,0.0,0.0,9
2mdu5q,0.0,0.0,0.0,0.0,0.09,0.12,0.0,0.11,0.0,0.0,0.1,0.0,0.22,0.31,0.03,13
2mm8p9,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,8
2mmpod,0.07,0.0,0.0,0.08,0.15,0.02,0.0,0.32,0.0,0.0,0.0,0.2,0.0,0.1,0.07,7
2mrs23,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,0.15,0.16,0.0,10
2n7py1,0.21,0.0,0.0,0.17,0.33,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4
2n8u5w,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.23,0.41,0.0,13
2o2cdu,0.0,0.0,0.0,0.0,0.12,0.12,0.03,0.0,0.5,0.0,0.18,0.0,0.0,0.0,0.04,8
2o43h9,0.2,0.01,0.0,0.0,0.0,0.02,0.0,0.23,0.07,0.02,0.0,0.32,0.0,0.14,0.0,11
2onbu8,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.28,0.32,0.2,13
2otate,0.19,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.28,0.0,0.0,0.16,0.0,0.0,0.0,4
2p8dc1,0.0,0.0,0.0,0.29,0.0,0.17,0.08,0.18,0.0,0.1,0.0,0.0,0.15,0.0,0.0,3
2pbj0u,0.16,0.0,0.0,0.07,0.0,0.0,0.05,0.06,0.0,0.04,0.0,0.62,0.0,0.0,0.0,11
2ph8rw,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.13,0.2,0.22,0.0,0.0,0.0,8
2pn5ry,0.13,0.0,0.0,0.28,0.15,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.22,0.0,3
2prsjg,0.0,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.23,0.19,0.21,0.0,0.0,0.0,0.05,4
2pyz5t,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0
2qix4w,0.13,0.02,0.0,0.03,0.0,0.09,0.04,0.27,0.29,0.0,0.13,0.0,0.0,0.0,0.0,8
2r4nuf,0.0,0.0,0.23,0.0,0.0,0.06,0.0,0.31,0.14,0.0,0.0,0.0,0.12,0.0,0.12,7
2rdp3w,0.0,0.0,0.08,0.0,0.31,0.15,0.01,0.12,0.0,0.14,0.0,0.06,0.0,0.14,0.0,4
2rghov,0.0,0.0,0.0,0.0,0.19,0.13,0.0,0.25,0.0,0.0,0.4,0.0,0.0,0.0,0.0,10
2rko14,0.18,0.0,0.02,0.0,0.0,0.0,0.0,0.14,0.1,0.0,0.0,0.51,0.05,0.0,0.0,11
2rlc85,0.28,0.0,0.17,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.14,0.2,0.0,0.0,0.0,0
2rm4k4,0.0,0.0,0.0,0.11,0.26,0.0,0.0,0.18,0.04,0.0,0.28,0.0,0.12,0.0,0.0,10
2rm6f3,0.0,0.0,0.0,0.11,0.26,0.0,0.0,0.18,0.04,0.0,0.28,0.0,0.12,0.0,0.0,10
2rmyzs,0.09,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.48,0.03,0.0,0.0,0.12,0.0,0.0,8
2rnb4i,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.46,0.0,0.0,0.24,0.0,0.0,0.0,0.15,7
2rnbpo,0.17,0.0,0.06,0.08,0.07,0.02,0.0,0.07,0.0,0.0,0.06,0.3,0.0,0.17,0.0,11
2rnyex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.23,0.0,0.44,14
2ruk2p,0.0,0.0,0.16,0.0,0.0,0.05,0.0,0.05,0.49,0.12,0.04,0.09,0.0,0.0,0.0,8
2rvqzi,0.0,0.0,0.0,0.1,0.0,0.07,0.0,0.22,0.33,0.0,0.0,0.0,0.27,0.0,0.0,8
2s2z0c,0.0,0.0,0.15,0.2,0.3,0.04,0.03,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,4
2s3tn7,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.2,10
2s7a3r,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4
2s9c35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.2,0.0,0.0,0.33,8
2sa6i4,0.41,0.0,0.03,0.0,0.49,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2scmfr,0.0,0.0,0.0,0.11,0.13,0.0,0.0,0.06,0.07,0.15,0.0,0.18,0.13,0.16,0.0,11
2sdrdr,0.0,0.05,0.0,0.0,0.16,0.0,0.0,0.09,0.0,0.12,0.0,0.33,0.0,0.12,0.13,11
2slem9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.18,0.0,0.0,0.6,0.16,0.04,0.0,11
2sls6e,0.23,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.16,2
2smp1b,0.0,0.05,0.28,0.27,0.0,0.05,0.0,0.3,0.0,0.04,0.0,0.0,0.0,0.0,0.0,7
2svwhw,0.0,0.0,0.04,0.07,0.31,0.06,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.23,0.13,4
2sxpqr,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.21,0.0,0.0,0.4,14
2t8hpr,0.0,0.03,0.0,0.0,0.3,0.0,0.0,0.26,0.0,0.0,0.1,0.0,0.25,0.0,0.04,4
2tagyb,0.1,0.0,0.09,0.19,0.0,0.0,0.0,0.3,0.0,0.0,0.03,0.17,0.07,0.05,0.0,7
2te8lk,0.0,0.0,0.0,0.18,0.09,0.3,0.05,0.0,0.0,0.14,0.16,0.0,0.07,0.0,0.0,5
2tecmu,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.36,0.01,0.38,0.01,0.01,0.01,0.01,10
2tfft1,0.0,0.0,0.0,0.09,0.22,0.19,0.0,0.0,0.0,0.04,0.0,0.44,0.0,0.0,0.0,11
2tg02z,0.0,0.0,0.0,0.08,0.29,0.0,0.0,0.03,0.0,0.17,0.12,0.0,0.0,0.26,0.05,4
2tghqe,0.0,0.0,0.56,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.04,0.0,0.13,0.05,2
2tlfy1,0.09,0.01,0.0,0.0,0.05,0.04,0.0,0.12,0.09,0.0,0.0,0.42,0.09,0.0,0.08,11
2tnwo7,0.11,0.04,0.05,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.0,0.28,0.0,13
2ttk5z,0.0,0.02,0.0,0.0,0.35,0.22,0.0,0.05,0.28,0.0,0.0,0.0,0.0,0.06,0.0,4
2tut8q,0.56,0.0,0.0,0.05,0.09,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0
2tvoys,0.0,0.05,0.0,0.0,0.47,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.22,0.0,4
2twber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.13,0.0,0.24,0.0,0.09,8
2twbxb,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,14
2twt78,0.15,0.0,0.0,0.16,0.17,0.0,0.0,0.26,0.0,0.0,0.0,0.13,0.0,0.13,0.0,7
2tz8fo,0.28,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.58,0.0,0.03,0.0,0.0,0.0,0.0,8
2u0wmw,0.23,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.21,0.18,0.0,0.0,3
2u1qw0,0.16,0.0,0.0,0.4,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,3
2u31eq,0.2,0.0,0.18,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.09,0.0,0.19,10
2u4mmy,0.0,0.0,0.18,0.0,0.14,0.14,0.0,0.21,0.15,0.06,0.07,0.0,0.0,0.0,0.06,7
2u8hm0,0.0,0.0,0.0,0.0,0.49,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.3,0.0,4
2ug2ya,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.25,0.2,0.03,0.22,0.02,0.0,0.0,0.12,7
2ugeqg,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.07,0.0,0.45,0.22,0.0,0.0,0.0,0.0,9
2ujx4z,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.41,0.0,0.42,0.0,0.0,0.0,0.0,0.0,9
2ulmuz,0.45,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.04,0
2um2bd,0.0,0.0,0.0,0.0,0.37,0.11,0.0,0.3,0.0,0.0,0.0,0.0,0.18,0.0,0.0,4
