,t0 didn,t1 day,t2 surgery,t3 symptom,t4 nt,t5 control,t6 amp,t7 cyst,t8 period,t9 doctor,dominant_topic
iq8ciw,0.02,0.28,0.0,0.23,0.0,0.0,0.0,0.0,0.44,0.03,8
iq90h3,0.0,0.65,0.0,0.24,0.09,0.0,0.0,0.0,0.0,0.0,1
iqb3a8,0.0,0.17,0.0,0.41,0.2,0.0,0.03,0.0,0.18,0.0,3
iqddf3,0.02,0.0,0.45,0.0,0.36,0.0,0.0,0.0,0.0,0.16,2
iqeey6,0.02,0.5,0.0,0.03,0.12,0.0,0.07,0.02,0.0,0.25,1
iqezdl,0.11,0.21,0.0,0.07,0.17,0.0,0.04,0.0,0.4,0.0,8
iqhf52,0.01,0.01,0.01,0.01,0.01,0.21,0.08,0.01,0.01,0.67,9
iqi0bz,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,5
iqicrn,0.0,0.0,0.0,0.34,0.14,0.0,0.0,0.0,0.51,0.0,8
iqjl6q,0.0,0.0,0.0,0.07,0.92,0.0,0.0,0.0,0.0,0.0,4
iqvnte,0.0,0.0,0.27,0.0,0.19,0.0,0.0,0.0,0.09,0.43,9
iqx80r,0.0,0.0,0.09,0.0,0.26,0.2,0.05,0.0,0.0,0.4,9
iqylbt,0.04,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.73,0.0,8
iqzbu3,0.03,0.23,0.0,0.0,0.0,0.0,0.0,0.12,0.61,0.0,8
iqzmgg,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.14,0.43,0.0,8
ir0w4b,0.0,0.0,0.0,0.07,0.0,0.08,0.0,0.1,0.51,0.24,8
ir1b45,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.36,0.12,3
ir28x2,0.05,0.38,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,3
ir2du8,0.0,0.55,0.0,0.34,0.0,0.0,0.0,0.0,0.09,0.0,1
ir37gz,0.0,0.04,0.0,0.0,0.32,0.06,0.03,0.02,0.22,0.31,4
ir3eqc,0.0,0.41,0.09,0.32,0.0,0.0,0.0,0.0,0.0,0.16,1
ir3mry,0.05,0.0,0.18,0.22,0.0,0.0,0.03,0.03,0.49,0.0,8
ir4rq7,0.0,0.0,0.0,0.59,0.0,0.1,0.0,0.06,0.0,0.24,3
ir4w4t,0.0,0.48,0.0,0.0,0.31,0.0,0.0,0.0,0.06,0.15,1
ir6jsa,0.0,0.0,0.0,0.0,0.36,0.02,0.0,0.0,0.47,0.14,8
ir6maz,0.01,0.58,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.01,1
ir8lpc,0.01,0.36,0.01,0.57,0.01,0.01,0.01,0.01,0.01,0.01,3
irbgj1,0.01,0.01,0.01,0.79,0.14,0.01,0.01,0.01,0.01,0.01,3
irc2dp,0.02,0.0,0.05,0.0,0.0,0.35,0.0,0.0,0.42,0.15,8
ircnmh,0.0,0.47,0.04,0.0,0.14,0.0,0.03,0.04,0.0,0.27,1
ird5g9,0.0,0.0,0.6,0.0,0.0,0.22,0.0,0.17,0.0,0.0,2
irdbel,0.06,0.0,0.0,0.0,0.51,0.06,0.0,0.0,0.0,0.37,4
irdnvy,0.0,0.14,0.0,0.48,0.23,0.1,0.05,0.0,0.0,0.0,3
ireukp,0.0,0.0,0.13,0.12,0.26,0.05,0.0,0.06,0.38,0.0,8
irgntt,0.03,0.0,0.51,0.0,0.0,0.19,0.0,0.11,0.15,0.0,2
irhgf6,0.0,0.38,0.08,0.29,0.03,0.0,0.04,0.05,0.0,0.13,1
iripl7,0.01,0.0,0.19,0.33,0.22,0.0,0.0,0.17,0.0,0.08,3
irjmn0,0.0,0.35,0.22,0.0,0.27,0.0,0.09,0.0,0.0,0.06,1
irljlh,0.0,0.0,0.13,0.57,0.08,0.0,0.05,0.0,0.0,0.16,3
irn9oz,0.0,0.0,0.1,0.0,0.38,0.28,0.0,0.0,0.0,0.23,4
irnf4m,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.36,0.0,0.15,7
irov0h,0.0,0.1,0.0,0.51,0.32,0.0,0.02,0.0,0.05,0.0,3
irq63b,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.83,0.01,8
irr7w7,0.0,0.25,0.05,0.06,0.09,0.0,0.0,0.17,0.22,0.17,1
irr84s,0.0,0.18,0.0,0.0,0.46,0.04,0.0,0.0,0.31,0.0,4
irrlsn,0.08,0.01,0.01,0.01,0.21,0.58,0.01,0.1,0.01,0.01,5
irs85o,0.03,0.0,0.37,0.0,0.0,0.23,0.0,0.23,0.14,0.0,2
irsee8,0.0,0.0,0.0,0.0,0.59,0.37,0.0,0.0,0.03,0.0,4
irwm8x,0.0,0.28,0.22,0.45,0.0,0.0,0.04,0.0,0.0,0.0,3
irx40t,0.0,0.0,0.0,0.46,0.12,0.0,0.0,0.17,0.24,0.0,3
is0c7p,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.22,0.34,0.01,2
is1je2,0.0,0.37,0.0,0.0,0.15,0.38,0.08,0.0,0.0,0.0,5
is2jp0,0.04,0.0,0.0,0.0,0.27,0.02,0.0,0.0,0.65,0.0,8
is3jgd,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2
is5f07,0.0,0.26,0.55,0.0,0.17,0.0,0.0,0.0,0.0,0.0,2
is6eya,0.01,0.01,0.25,0.01,0.01,0.47,0.01,0.01,0.01,0.23,5
is6ynv,0.04,0.0,0.0,0.42,0.18,0.0,0.0,0.0,0.0,0.34,3
is7tp5,0.0,0.37,0.13,0.0,0.0,0.0,0.0,0.18,0.3,0.0,1
is8bs4,0.06,0.0,0.16,0.0,0.0,0.0,0.08,0.32,0.0,0.37,9
isaiaq,0.04,0.52,0.24,0.11,0.0,0.07,0.0,0.0,0.0,0.0,1
isay8n,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.18,8
isb8gx,0.0,0.17,0.13,0.0,0.12,0.43,0.0,0.0,0.0,0.14,5
ise7it,0.02,0.22,0.0,0.43,0.03,0.0,0.0,0.09,0.08,0.13,3
iseang,0.0,0.0,0.3,0.0,0.0,0.45,0.0,0.0,0.15,0.09,5
isers0,0.03,0.55,0.16,0.05,0.14,0.0,0.06,0.0,0.0,0.0,1
isg0my,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.11,0.09,0.59,9
ishwd1,0.0,0.0,0.77,0.0,0.0,0.05,0.0,0.0,0.0,0.15,2
isidu8,0.0,0.0,0.32,0.03,0.61,0.02,0.0,0.0,0.0,0.0,4
isigo1,0.03,0.0,0.0,0.0,0.45,0.07,0.0,0.0,0.3,0.14,4
isocci,0.0,0.36,0.12,0.3,0.0,0.03,0.0,0.03,0.0,0.15,1
isogpr,0.04,0.2,0.0,0.11,0.0,0.04,0.04,0.0,0.57,0.0,8
isoq8s,0.0,0.0,0.0,0.08,0.74,0.13,0.04,0.0,0.0,0.0,4
isq0pa,0.0,0.19,0.0,0.25,0.54,0.0,0.0,0.0,0.0,0.0,4
isqhjn,0.0,0.65,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
isr0uj,0.05,0.62,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,1
isrukj,0.0,0.0,0.46,0.0,0.38,0.0,0.14,0.0,0.0,0.0,2
iss8jl,0.0,0.2,0.0,0.44,0.0,0.09,0.0,0.0,0.15,0.12,3
issfik,0.0,0.23,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,2
isswk4,0.08,0.46,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
isv25t,0.0,0.08,0.0,0.0,0.38,0.07,0.0,0.0,0.45,0.0,8
isxar0,0.13,0.12,0.0,0.5,0.0,0.0,0.0,0.24,0.0,0.0,3
isy0tj,0.0,0.0,0.39,0.07,0.0,0.0,0.0,0.0,0.0,0.52,9
isyavk,0.0,0.0,0.28,0.0,0.0,0.54,0.0,0.15,0.0,0.0,5
isz3ud,0.0,0.2,0.0,0.0,0.0,0.17,0.0,0.0,0.6,0.0,8
iszwcp,0.0,0.16,0.46,0.0,0.0,0.0,0.0,0.0,0.37,0.0,2
it0v97,0.0,0.0,0.3,0.0,0.33,0.34,0.0,0.0,0.0,0.0,5
it4u8z,0.01,0.65,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,1
it6fnz,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
it9f7z,0.0,0.1,0.03,0.0,0.59,0.0,0.02,0.0,0.25,0.0,4
itbf2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.07,8
itbslc,0.02,0.26,0.0,0.38,0.0,0.0,0.02,0.15,0.16,0.0,3
itbue3,0.0,0.0,0.0,0.69,0.06,0.0,0.0,0.05,0.19,0.0,3
itbvxr,0.01,0.31,0.03,0.3,0.0,0.15,0.01,0.11,0.0,0.07,1
itcco7,0.01,0.22,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.01,3
itf7m6,0.0,0.69,0.0,0.13,0.0,0.0,0.0,0.16,0.0,0.0,1
itgoym,0.01,0.01,0.58,0.16,0.01,0.01,0.01,0.01,0.01,0.23,2
ith2cd,0.0,0.01,0.29,0.16,0.12,0.11,0.13,0.01,0.02,0.14,2
itj0if,0.03,0.0,0.0,0.0,0.21,0.17,0.0,0.0,0.19,0.4,9
itj4kw,0.0,0.15,0.0,0.35,0.0,0.09,0.0,0.07,0.16,0.17,3
itjf60,0.0,0.0,0.34,0.0,0.39,0.05,0.2,0.0,0.0,0.0,4
itjftj,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.25,0.21,0.41,9
itk11p,0.0,0.2,0.1,0.46,0.0,0.12,0.0,0.1,0.0,0.0,3
itkbmp,0.0,0.0,0.0,0.32,0.22,0.0,0.19,0.08,0.0,0.17,3
itkqki,0.02,0.29,0.0,0.19,0.15,0.26,0.0,0.0,0.0,0.08,1
itlxph,0.0,0.54,0.0,0.0,0.25,0.0,0.0,0.0,0.18,0.0,1
itnovh,0.01,0.01,0.01,0.14,0.79,0.01,0.01,0.01,0.01,0.01,4
itnqwq,0.0,0.46,0.05,0.0,0.0,0.13,0.0,0.35,0.0,0.0,1
itph3y,0.0,0.0,0.05,0.0,0.36,0.0,0.07,0.0,0.51,0.0,8
itptjn,0.0,0.11,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.45,9
itqkv1,0.09,0.45,0.08,0.0,0.0,0.0,0.01,0.11,0.18,0.09,1
itsjvb,0.01,0.22,0.14,0.01,0.01,0.22,0.01,0.01,0.38,0.01,8
itspcf,0.0,0.07,0.35,0.0,0.16,0.17,0.0,0.08,0.0,0.16,2
itu54h,0.1,0.0,0.0,0.37,0.04,0.0,0.0,0.0,0.48,0.0,8
iu0f2c,0.02,0.32,0.0,0.26,0.02,0.0,0.0,0.07,0.01,0.3,1
iu2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.41,8
iu26nt,0.0,0.32,0.09,0.0,0.42,0.0,0.0,0.0,0.16,0.0,4
iu28ue,0.06,0.48,0.28,0.0,0.0,0.0,0.0,0.17,0.0,0.0,1
iu3c2f,0.0,0.0,0.65,0.0,0.06,0.0,0.27,0.0,0.0,0.0,2
iu3zsl,0.02,0.0,0.24,0.14,0.23,0.23,0.0,0.0,0.15,0.0,2
iu4237,0.0,0.26,0.0,0.0,0.47,0.26,0.0,0.0,0.0,0.0,4
iu4iug,0.0,0.43,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
iu753p,0.0,0.13,0.0,0.0,0.39,0.05,0.03,0.0,0.15,0.25,4
iudz40,0.01,0.65,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,1
iuehyt,0.0,0.1,0.61,0.0,0.28,0.0,0.0,0.0,0.0,0.0,2
iuf6mt,0.03,0.25,0.41,0.12,0.1,0.02,0.06,0.0,0.0,0.0,2
iufoqx,0.0,0.67,0.0,0.0,0.0,0.14,0.08,0.09,0.0,0.0,1
iuhtf9,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.4,0.0,3
iuj3pc,0.0,0.15,0.31,0.0,0.0,0.45,0.0,0.0,0.08,0.0,5
iuj962,0.06,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
iuk5bn,0.08,0.19,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.49,9
iukdg3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.51,9
iuku6s,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
iummnz,0.0,0.19,0.46,0.33,0.0,0.0,0.0,0.0,0.0,0.0,2
iumrsb,0.01,0.01,0.86,0.01,0.01,0.01,0.01,0.09,0.01,0.01,2
iunfpf,0.01,0.01,0.01,0.01,0.64,0.01,0.01,0.01,0.01,0.3,4
iupcpd,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.74,0.01,8
ius8ea,0.04,0.0,0.72,0.0,0.18,0.0,0.04,0.0,0.0,0.0,2
iusvdo,0.0,0.0,0.0,0.0,0.52,0.0,0.07,0.2,0.2,0.0,4
iutlgw,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.07,0.0,0.33,2
iuut2k,0.01,0.29,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
iuv975,0.0,0.14,0.0,0.43,0.0,0.0,0.0,0.03,0.39,0.0,3
iuvb2a,0.0,0.0,0.0,0.0,0.0,0.83,0.14,0.0,0.0,0.0,5
iv57z4,0.03,0.03,0.0,0.0,0.16,0.14,0.0,0.03,0.15,0.44,9
iv5gbr,0.0,0.79,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1
iv7jnq,0.0,0.1,0.07,0.12,0.13,0.08,0.01,0.0,0.15,0.34,9
iv7yq4,0.0,0.24,0.4,0.15,0.0,0.0,0.04,0.15,0.0,0.0,2
iv9460,0.03,0.6,0.0,0.09,0.0,0.0,0.0,0.27,0.0,0.0,1
iv950c,0.0,0.0,0.09,0.64,0.17,0.08,0.0,0.0,0.0,0.0,3
iv9jwv,0.0,0.36,0.0,0.0,0.35,0.0,0.0,0.0,0.28,0.0,1
ivasal,0.0,0.54,0.14,0.0,0.0,0.0,0.04,0.04,0.0,0.23,1
ivd6ia,0.03,0.0,0.09,0.0,0.39,0.0,0.0,0.28,0.0,0.21,4
ivd8ru,0.0,0.07,0.0,0.53,0.26,0.0,0.0,0.0,0.0,0.12,3
ivdlyw,0.04,0.0,0.21,0.03,0.24,0.05,0.05,0.0,0.0,0.39,9
ivdmoy,0.21,0.01,0.52,0.24,0.01,0.01,0.01,0.01,0.01,0.01,2
ivdr5f,0.0,0.11,0.1,0.25,0.16,0.09,0.16,0.0,0.09,0.05,3
ive8ym,0.0,0.0,0.35,0.21,0.37,0.0,0.0,0.06,0.0,0.0,4
ivgrx0,0.01,0.72,0.01,0.01,0.16,0.01,0.08,0.01,0.01,0.01,1
ivgts0,0.0,0.36,0.26,0.0,0.37,0.0,0.0,0.0,0.0,0.0,4
ivij2m,0.0,0.07,0.0,0.0,0.43,0.08,0.0,0.1,0.07,0.25,4
ivj0qe,0.02,0.21,0.0,0.0,0.14,0.0,0.05,0.0,0.57,0.0,8
ivkywo,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
ivlpqq,0.03,0.32,0.22,0.29,0.03,0.0,0.03,0.0,0.0,0.09,1
ivu47e,0.0,0.4,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,4
ivu9jj,0.16,0.0,0.63,0.1,0.0,0.08,0.0,0.0,0.0,0.0,2
ivum2i,0.06,0.64,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,1
ivv909,0.0,0.41,0.12,0.0,0.3,0.0,0.06,0.0,0.0,0.1,1
ivvbdq,0.0,0.17,0.0,0.0,0.26,0.29,0.02,0.0,0.27,0.0,5
ivwpyh,0.1,0.0,0.69,0.0,0.19,0.0,0.0,0.0,0.0,0.0,2
ivz02k,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.81,9
iw2qvw,0.05,0.12,0.0,0.29,0.2,0.0,0.0,0.34,0.0,0.0,7
iw3trs,0.24,0.0,0.0,0.0,0.18,0.27,0.0,0.0,0.0,0.28,9
iw9yeg,0.0,0.0,0.15,0.0,0.0,0.65,0.0,0.18,0.0,0.0,5
iwaqmu,0.0,0.12,0.13,0.21,0.0,0.08,0.03,0.08,0.07,0.27,9
iwbvve,0.0,0.0,0.15,0.43,0.0,0.0,0.02,0.0,0.27,0.12,3
iwew4p,0.0,0.0,0.37,0.0,0.2,0.24,0.05,0.0,0.12,0.0,2
iwiiue,0.01,0.01,0.24,0.68,0.01,0.01,0.01,0.01,0.01,0.01,3
iwjg5k,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
iwkfje,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.61,0.18,8
iwo1sf,0.02,0.02,0.02,0.4,0.44,0.02,0.02,0.02,0.02,0.02,4
iwpaff,0.01,0.01,0.74,0.01,0.01,0.18,0.01,0.01,0.01,0.01,2
iwqfzc,0.04,0.06,0.16,0.11,0.32,0.19,0.0,0.0,0.0,0.11,4
iws37f,0.0,0.66,0.0,0.22,0.0,0.0,0.1,0.0,0.0,0.0,1
iwzgqp,0.05,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.64,0.07,8
iwzxzo,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
ix1dw8,0.02,0.0,0.0,0.0,0.35,0.09,0.0,0.0,0.13,0.4,9
ix213b,0.01,0.01,0.01,0.01,0.95,0.01,0.01,0.01,0.01,0.01,4
ix3xqo,0.0,0.45,0.14,0.0,0.0,0.0,0.0,0.27,0.0,0.13,1
ix54sa,0.03,0.65,0.0,0.0,0.19,0.0,0.09,0.03,0.0,0.0,1
ix7gvc,0.0,0.17,0.0,0.31,0.0,0.07,0.07,0.2,0.17,0.0,3
ix7lw1,0.0,0.0,0.38,0.0,0.0,0.0,0.59,0.0,0.0,0.0,6
ix7ukj,0.03,0.07,0.0,0.39,0.26,0.2,0.05,0.0,0.0,0.0,3
ix9zja,0.06,0.0,0.0,0.24,0.43,0.0,0.0,0.0,0.0,0.26,4
ixayfz,0.0,0.0,0.0,0.1,0.64,0.0,0.02,0.0,0.0,0.24,4
ixbaog,0.01,0.01,0.57,0.01,0.01,0.01,0.31,0.01,0.01,0.01,2
ixcjs9,0.0,0.69,0.0,0.09,0.08,0.13,0.0,0.0,0.0,0.0,1
ixcmb9,0.0,0.2,0.06,0.19,0.0,0.0,0.0,0.0,0.53,0.0,8
ixcqow,0.01,0.18,0.45,0.01,0.31,0.01,0.01,0.01,0.01,0.01,2
ixe9ly,0.0,0.45,0.1,0.0,0.0,0.0,0.28,0.0,0.0,0.16,1
ixewjs,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.33,8
ixfjhr,0.0,0.51,0.08,0.0,0.19,0.03,0.0,0.0,0.0,0.19,1
ixh9om,0.0,0.0,0.21,0.41,0.0,0.0,0.0,0.36,0.0,0.0,3
ixhrsg,0.02,0.09,0.0,0.04,0.21,0.0,0.0,0.0,0.64,0.0,8
ixiv1b,0.03,0.0,0.0,0.28,0.0,0.0,0.02,0.0,0.63,0.05,8
ixtjd9,0.05,0.0,0.27,0.0,0.11,0.0,0.0,0.13,0.24,0.21,2
ixtn2w,0.04,0.0,0.37,0.0,0.17,0.41,0.0,0.0,0.0,0.0,5
ixus16,0.01,0.01,0.01,0.01,0.42,0.01,0.14,0.01,0.01,0.39,4
ixuvgk,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.11,0.16,0.37,9
ixvvvu,0.0,0.16,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2
ixwn7w,0.01,0.01,0.01,0.01,0.33,0.23,0.01,0.01,0.4,0.01,8
ixx8pn,0.01,0.0,0.0,0.0,0.52,0.0,0.02,0.04,0.0,0.4,4
ixyjuk,0.04,0.48,0.0,0.08,0.18,0.0,0.0,0.0,0.22,0.0,1
ixz0qc,0.0,0.13,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.37,9
ixz7fk,0.16,0.0,0.5,0.0,0.0,0.09,0.05,0.0,0.2,0.0,2
ixzcfu,0.12,0.56,0.22,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1
ixzixn,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27,0.51,9
ixzssr,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.1,0.19,0.0,4
iy0djg,0.02,0.0,0.0,0.0,0.32,0.11,0.02,0.11,0.0,0.41,9
iy104v,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
iy2e9n,0.01,0.03,0.0,0.0,0.12,0.02,0.0,0.0,0.22,0.59,9
iy2zrg,0.03,0.0,0.11,0.0,0.0,0.0,0.0,0.49,0.37,0.0,7
iy627i,0.0,0.0,0.17,0.0,0.63,0.0,0.0,0.0,0.0,0.18,4
iy874b,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,3
iy8gqr,0.07,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.58,9
iy9krh,0.08,0.0,0.26,0.0,0.24,0.11,0.0,0.0,0.31,0.0,8
iydkll,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,1
iyefl7,0.0,0.54,0.3,0.0,0.0,0.12,0.03,0.0,0.0,0.0,1
iyel65,0.03,0.8,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,1
iyfh6g,0.13,0.0,0.0,0.26,0.55,0.0,0.0,0.04,0.0,0.0,4
iyfzks,0.0,0.05,0.2,0.0,0.43,0.0,0.0,0.11,0.11,0.1,4
iyggqc,0.01,0.1,0.61,0.01,0.01,0.24,0.01,0.01,0.01,0.01,2
iyhg7m,0.01,0.0,0.31,0.0,0.09,0.24,0.0,0.0,0.19,0.16,2
iyhz74,0.03,0.54,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.26,1
iyid90,0.0,0.16,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,4
iyj22s,0.13,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.61,9
iykx8t,0.0,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.34,0.28,8
iylby6,0.02,0.22,0.0,0.16,0.0,0.0,0.06,0.09,0.37,0.08,8
iylwnd,0.01,0.07,0.21,0.38,0.0,0.0,0.0,0.0,0.33,0.0,3
iyn4nk,0.0,0.0,0.0,0.31,0.49,0.0,0.0,0.0,0.19,0.0,4
iyn5e3,0.0,0.0,0.0,0.09,0.28,0.0,0.0,0.0,0.63,0.0,8
iyp3z3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.47,0.0,0.0,2
iyq7w1,0.0,0.36,0.0,0.26,0.0,0.0,0.18,0.0,0.0,0.2,1
iytbt6,0.04,0.0,0.0,0.0,0.36,0.04,0.0,0.0,0.28,0.29,4
iyw5hm,0.0,0.41,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.18,1
iyweer,0.0,0.09,0.0,0.0,0.74,0.0,0.15,0.0,0.0,0.0,4
iyww79,0.0,0.0,0.5,0.0,0.48,0.0,0.0,0.0,0.0,0.0,2
iyx6km,0.0,0.0,0.75,0.17,0.0,0.0,0.0,0.04,0.0,0.0,2
iyxfuj,0.02,0.0,0.0,0.0,0.19,0.0,0.04,0.27,0.19,0.29,9
iyxupq,0.0,0.47,0.0,0.07,0.28,0.0,0.0,0.0,0.17,0.0,1
iz14x0,0.03,0.14,0.0,0.0,0.8,0.01,0.01,0.0,0.0,0.0,4
iz1ook,0.02,0.16,0.0,0.37,0.0,0.0,0.0,0.0,0.44,0.0,8
iz2pcv,0.0,0.0,0.32,0.0,0.25,0.25,0.04,0.04,0.0,0.09,2
iz2x9o,0.0,0.17,0.0,0.0,0.58,0.0,0.23,0.0,0.0,0.0,4
iz4lba,0.04,0.47,0.11,0.09,0.0,0.0,0.0,0.28,0.0,0.0,1
iz4tz9,0.0,0.16,0.0,0.05,0.15,0.07,0.0,0.08,0.14,0.35,9
iz4wok,0.0,0.0,0.38,0.14,0.0,0.0,0.0,0.0,0.07,0.4,9
iz61lx,0.0,0.58,0.0,0.0,0.18,0.0,0.0,0.0,0.24,0.0,1
iz6eyd,0.04,0.0,0.0,0.14,0.22,0.09,0.03,0.05,0.16,0.29,9
iz7mae,0.0,0.25,0.04,0.0,0.36,0.31,0.0,0.0,0.04,0.0,4
iz7p19,0.07,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.33,0.21,2
izhf6x,0.1,0.0,0.52,0.0,0.13,0.0,0.0,0.24,0.0,0.0,2
izj1vq,0.0,0.44,0.0,0.06,0.08,0.0,0.01,0.11,0.26,0.05,1
izj7jw,0.0,0.0,0.07,0.21,0.13,0.25,0.07,0.03,0.23,0.0,5
izjqup,0.02,0.49,0.0,0.26,0.0,0.0,0.01,0.06,0.0,0.15,1
izk6vw,0.04,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.26,0.58,9
izkuyc,0.01,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
izmdhz,0.01,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,3
izmw13,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
izpf7c,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
izpgoz,0.0,0.3,0.0,0.27,0.0,0.0,0.0,0.12,0.31,0.0,8
izppmc,0.0,0.0,0.0,0.07,0.29,0.13,0.04,0.2,0.27,0.0,4
izqcid,0.01,0.01,0.01,0.01,0.78,0.01,0.16,0.01,0.01,0.01,4
izsf0u,0.0,0.0,0.31,0.1,0.43,0.0,0.0,0.14,0.0,0.0,4
izte10,0.0,0.0,0.0,0.27,0.52,0.13,0.0,0.06,0.0,0.0,4
izurd5,0.0,0.38,0.46,0.04,0.0,0.06,0.05,0.0,0.0,0.0,2
izvtvz,0.01,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
izxh4p,0.02,0.0,0.22,0.0,0.39,0.0,0.02,0.0,0.21,0.13,4
j03cv5,0.0,0.0,0.0,0.25,0.14,0.0,0.0,0.0,0.6,0.0,8
j03gf0,0.06,0.15,0.0,0.0,0.17,0.14,0.0,0.02,0.0,0.45,9
j06kww,0.0,0.21,0.0,0.0,0.63,0.0,0.0,0.0,0.16,0.0,4
j08hh8,0.03,0.2,0.17,0.33,0.0,0.03,0.03,0.0,0.0,0.21,3
j08tsv,0.0,0.14,0.0,0.0,0.67,0.05,0.0,0.0,0.0,0.14,4
j0g1u0,0.0,0.11,0.0,0.13,0.37,0.0,0.01,0.05,0.0,0.33,4
j0g275,0.0,0.0,0.38,0.0,0.47,0.0,0.0,0.13,0.0,0.0,4
j0gked,0.02,0.34,0.02,0.02,0.02,0.02,0.02,0.02,0.53,0.02,8
j0k5hi,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.37,0.0,4
j0lvpl,0.01,0.01,0.17,0.01,0.01,0.01,0.45,0.01,0.01,0.31,6
j0uhdm,0.0,0.0,0.38,0.0,0.0,0.14,0.0,0.0,0.0,0.45,9
j0uj47,0.0,0.0,0.35,0.11,0.52,0.0,0.0,0.0,0.0,0.0,4
j0uqgw,0.08,0.69,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1
j0y10x,0.05,0.0,0.0,0.32,0.14,0.06,0.03,0.15,0.12,0.12,3
